ID,Date_Time,AC_Status,Window_Status,CLast_Time,CLast_Time_T,WLast_Time,WLast_Time_T,Indoor_Temp,Indoor_RH,Outdoor_Temp,Outdoor_RH,Rain,Cloud,Windspeed,Month,Hour,Room_ID,Study_ID,City,Next_Indoor_Temp,Next_Indoor_RH,Next_Outdoor_Temp,Next_Outdoor_RH,Differ_Outdoor_Temp,Differ_Indoor_Temp,Target_Temp
1,2019/3/5 0:00,0,0,0,0,0,0,25.12,70.84,26,84,No Rain,Passing clouds,130,3,0,A,6,Florianopolis,25.09,71.22,26,84,0,-0.03,0
2,2019/3/5 1:00,0,0,0,0,0,0,25.09,71.22,26,84,No Rain,Passing clouds,170,3,1,A,6,Florianopolis,25.05,71.66,26,89,0,-0.04,0
3,2019/3/5 2:00,0,0,0,0,0,0,25.05,71.66,26,89,No Rain,Passing clouds,110,3,2,A,6,Florianopolis,25.02,71.84,26,89,0,-0.03,0
4,2019/3/5 3:00,0,0,0,0,0,0,25.02,71.84,26,89,No Rain,Passing clouds,130,3,3,A,6,Florianopolis,24.97,72.11,25,89,-1,-0.05,0
5,2019/3/5 4:00,0,0,0,0,0,0,24.97,72.11,25,89,No Rain,Passing clouds,90,3,4,A,6,Florianopolis,24.92,72.12,25,89,0,-0.05,0
6,2019/3/5 5:00,0,0,0,0,0,0,24.92,72.12,25,89,No Rain,Passing clouds,110,3,5,A,6,Florianopolis,24.88,72.26,25,89,0,-0.04,0
7,2019/3/5 6:00,0,0,0,0,0,0,24.88,72.26,25,89,No Rain,Clear,90,3,6,A,6,Florianopolis,24.83,72.55,25,89,0,-0.05,0
8,2019/3/5 7:00,0,0,0,0,0,0,24.83,72.55,25,89,No Rain,Sunny,90,3,7,A,6,Florianopolis,24.85,72.59,27,79,2,0.02,0
9,2019/3/5 8:00,0,1,0,0,47,47,24.85,72.59,27,79,No Rain,Sunny,110,3,8,A,6,Florianopolis,24.88,76.25,28,70,1,0.03,0
10,2019/3/5 9:00,0,1,0,0,60,107,24.88,76.25,28,70,No Rain,Sunny,150,3,9,A,6,Florianopolis,25.12,73.63,29,66,1,0.24,0
11,2019/3/5 10:00,0,1,0,0,60,167,25.12,73.63,29,66,No Rain,Sunny,130,3,10,A,6,Florianopolis,25.41,69.7,31,59,2,0.29,0
12,2019/3/5 11:00,0,1,0,0,60,227,25.41,69.7,31,59,No Rain,Sunny,190,3,11,A,6,Florianopolis,25.7,69.88,31,59,0,0.29,0
13,2019/3/5 12:00,0,1,0,0,60,287,25.7,69.88,31,59,No Rain,Sunny,200,3,12,A,6,Florianopolis,25.9,70.77,32,59,1,0.2,0
14,2019/3/5 13:00,1,1,10,10,60,347,25.9,70.77,32,59,No Rain,Passing clouds,200,3,13,A,6,Florianopolis,26.16,69.36,32,59,0,0.26,26.16
15,2019/3/5 14:00,1,1,2,12,60,407,26.16,69.36,32,59,No Rain,Passing clouds,220,3,14,A,6,Florianopolis,27,68.61,32,59,0,0.84,26.16
16,2019/3/5 15:00,0,1,0,0,60,467,27,68.61,32,59,No Rain,Passing clouds,220,3,15,A,6,Florianopolis,27.27,69.3,31,66,-1,0.27,0
17,2019/3/5 16:00,0,1,0,0,60,527,27.27,69.3,31,66,No Rain,Passing clouds,190,3,16,A,6,Florianopolis,27.36,69.02,30,70,-1,0.09,0
18,2019/3/5 17:00,1,1,33,33,27,554,27.36,69.02,30,70,No Rain,Passing clouds,150,3,17,A,6,Florianopolis,26.02,59.17,29,70,-1,-1.34,25.02
19,2019/3/5 18:00,1,0,60,93,0,0,26.02,59.17,29,70,No Rain,Passing clouds,90,3,18,A,6,Florianopolis,25.31,51.29,28,70,-1,-0.71,25.02
20,2019/3/5 19:00,1,0,60,153,0,0,25.31,51.29,28,70,No Rain,Passing clouds,150,3,19,A,6,Florianopolis,25.36,54.1,27,79,-1,0.05,25.02
21,2019/3/5 20:00,1,0,60,213,0,0,25.36,54.1,27,79,No Rain,Passing clouds,150,3,20,A,6,Florianopolis,25.02,51.24,27,84,0,-0.34,25.02
22,2019/3/5 21:00,1,0,57,270,0,0,25.02,51.24,27,84,No Rain,Passing clouds,40,3,21,A,6,Florianopolis,25.43,57.53,27,79,0,0.41,25.02
23,2019/3/5 22:00,0,0,0,0,0,0,25.43,57.53,27,79,No Rain,Passing clouds,70,3,22,A,6,Florianopolis,25.8,61.2,26,84,-1,0.37,0
24,2019/3/5 23:00,0,0,0,0,0,0,25.8,61.2,26,84,No Rain,Passing clouds,40,3,23,A,6,Florianopolis,25.92,65.33,26,89,0,0.12,0
25,2019/3/6 0:00,0,0,0,0,0,0,25.92,65.33,26,89,No Rain,Passing clouds,0,3,0,A,6,Florianopolis,21.8,76.54,25,89,-1,-4.12,0
26,2019/3/6 1:00,0,0,0,0,0,0,21.8,76.54,25,89,No Rain,Passing clouds,40,3,1,A,6,Florianopolis,21.78,76.01,26,89,1,-0.02,0
27,2019/3/6 2:00,0,0,0,0,0,0,21.78,76.01,26,89,No Rain,Passing clouds,60,3,2,A,6,Florianopolis,21.73,74.54,26,89,0,-0.05,0
28,2019/3/6 3:00,0,0,0,0,0,0,21.73,74.54,26,89,No Rain,Passing clouds,60,3,3,A,6,Florianopolis,21.68,73.6,26,89,0,-0.05,0
29,2019/3/6 4:00,0,0,0,0,0,0,21.68,73.6,26,89,No Rain,Passing clouds,90,3,4,A,6,Florianopolis,21.61,73.85,26,89,0,-0.07,0
30,2019/3/6 5:00,0,0,0,0,0,0,21.61,73.85,26,89,No Rain,Passing clouds,90,3,5,A,6,Florianopolis,21.56,74.06,26,89,0,-0.05,0
