ID,Date_Time,AC_Status,Window_Status,CLast_Time,CLast_Time_T,WLast_Time,WLast_Time_T,Indoor_Temp,Indoor_RH,Outdoor_Temp,Outdoor_RH,Rain,Cloud,Windspeed,Month,Hour,Room_ID,Study_ID,City,Next_Indoor_Temp,Next_Indoor_RH,Next_Outdoor_Temp,Next_Outdoor_RH,Differ_Outdoor_Temp,Differ_Indoor_Temp,Target_Temp
1,2019-03-05 00:00:00,0,0.0,0,0,0.0,0.0,25.12,70.84,26,84,4,14,130,3,0,0,6,0,25.09,71.22,26.0,84.0,0.0,-0.03,0.0
2,2019-03-05 01:00:00,0,0.0,0,0,0.0,0.0,25.09,71.22,26,84,4,14,170,3,1,0,6,0,25.05,71.66,26.0,89.0,0.0,-0.04,0.0
3,2019-03-05 02:00:00,0,0.0,0,0,0.0,0.0,25.05,71.66,26,89,4,14,110,3,2,0,6,0,25.02,71.84,26.0,89.0,0.0,-0.03,0.0
4,2019-03-05 03:00:00,0,0.0,0,0,0.0,0.0,25.02,71.84,26,89,4,14,130,3,3,0,6,0,24.97,72.11,25.0,89.0,-1.0,-0.05,0.0
5,2019-03-05 04:00:00,0,0.0,0,0,0.0,0.0,24.97,72.11,25,89,4,14,90,3,4,0,6,0,24.92,72.12,25.0,89.0,0.0,-0.05,0.0
6,2019-03-05 05:00:00,0,0.0,0,0,0.0,0.0,24.92,72.12,25,89,4,14,110,3,5,0,6,0,24.88,72.26,25.0,89.0,0.0,-0.04,0.0
7,2019-03-05 06:00:00,0,0.0,0,0,0.0,0.0,24.88,72.26,25,89,4,1,90,3,6,0,6,0,24.83,72.55,25.0,89.0,0.0,-0.05,0.0
8,2019-03-05 07:00:00,0,0.0,0,0,0.0,0.0,24.83,72.55,25,89,4,16,90,3,7,0,6,0,24.85,72.59,27.0,79.0,2.0,0.02,0.0
9,2019-03-05 08:00:00,0,1.0,0,0,47.0,47.0,24.85,72.59,27,79,4,16,110,3,8,0,6,0,24.88,76.25,28.0,70.0,1.0,0.03,0.0
10,2019-03-05 09:00:00,0,1.0,0,0,60.0,107.0,24.88,76.25,28,70,4,16,150,3,9,0,6,0,25.12,73.63,29.0,66.0,1.0,0.24,0.0
11,2019-03-05 10:00:00,0,1.0,0,0,60.0,167.0,25.12,73.63,29,66,4,16,130,3,10,0,6,0,25.41,69.7,31.0,59.0,2.0,0.29,0.0
12,2019-03-05 11:00:00,0,1.0,0,0,60.0,227.0,25.41,69.7,31,59,4,16,190,3,11,0,6,0,25.7,69.88,31.0,59.0,0.0,0.29,0.0
13,2019-03-05 12:00:00,0,1.0,0,0,60.0,287.0,25.7,69.88,31,59,4,16,200,3,12,0,6,0,25.9,70.77,32.0,59.0,1.0,0.2,0.0
14,2019-03-05 13:00:00,1,1.0,10,10,60.0,347.0,25.9,70.77,32,59,4,14,200,3,13,0,6,0,26.16,69.36,32.0,59.0,0.0,0.26,26.16
15,2019-03-05 14:00:00,1,1.0,2,12,60.0,407.0,26.16,69.36,32,59,4,14,220,3,14,0,6,0,27.0,68.61,32.0,59.0,0.0,0.84,26.16
16,2019-03-05 15:00:00,0,1.0,0,0,60.0,467.0,27.0,68.61,32,59,4,14,220,3,15,0,6,0,27.27,69.3,31.0,66.0,-1.0,0.27,0.0
17,2019-03-05 16:00:00,0,1.0,0,0,60.0,527.0,27.27,69.3,31,66,4,14,190,3,16,0,6,0,27.36,69.02,30.0,70.0,-1.0,0.09,0.0
18,2019-03-05 17:00:00,1,1.0,33,33,27.0,554.0,27.36,69.02,30,70,4,14,150,3,17,0,6,0,26.02,59.17,29.0,70.0,-1.0,-1.34,25.02
19,2019-03-05 18:00:00,1,0.0,60,93,0.0,0.0,26.02,59.17,29,70,4,14,90,3,18,0,6,0,25.31,51.29,28.0,70.0,-1.0,-0.71,25.02
20,2019-03-05 19:00:00,1,0.0,60,153,0.0,0.0,25.31,51.29,28,70,4,14,150,3,19,0,6,0,25.36,54.1,27.0,79.0,-1.0,0.05,25.02
21,2019-03-05 20:00:00,1,0.0,60,213,0.0,0.0,25.36,54.1,27,79,4,14,150,3,20,0,6,0,25.02,51.24,27.0,84.0,0.0,-0.34,25.02
22,2019-03-05 21:00:00,1,0.0,57,270,0.0,0.0,25.02,51.24,27,84,4,14,40,3,21,0,6,0,25.43,57.53,27.0,79.0,0.0,0.41,25.02
23,2019-03-05 22:00:00,0,0.0,0,0,0.0,0.0,25.43,57.53,27,79,4,14,70,3,22,0,6,0,25.8,61.2,26.0,84.0,-1.0,0.37,0.0
24,2019-03-05 23:00:00,0,0.0,0,0,0.0,0.0,25.8,61.2,26,84,4,14,40,3,23,0,6,0,25.92,65.33,26.0,89.0,0.0,0.12,0.0
25,2019-03-06 00:00:00,0,0.0,0,0,0.0,0.0,25.92,65.33,26,89,4,14,0,3,0,0,6,0,21.8,76.54,25.0,89.0,-1.0,-4.12,0.0
26,2019-03-06 01:00:00,0,0.0,0,0,0.0,0.0,21.8,76.54,25,89,4,14,40,3,1,0,6,0,21.78,76.01,26.0,89.0,1.0,-0.02,0.0
27,2019-03-06 02:00:00,0,0.0,0,0,0.0,0.0,21.78,76.01,26,89,4,14,60,3,2,0,6,0,21.73,74.54,26.0,89.0,0.0,-0.05,0.0
28,2019-03-06 03:00:00,0,0.0,0,0,0.0,0.0,21.73,74.54,26,89,4,14,60,3,3,0,6,0,21.68,73.6,26.0,89.0,0.0,-0.05,0.0
29,2019-03-06 04:00:00,0,0.0,0,0,0.0,0.0,21.68,73.6,26,89,4,14,90,3,4,0,6,0,21.61,73.85,26.0,89.0,0.0,-0.07,0.0
30,2019-03-06 05:00:00,0,0.0,0,0,0.0,0.0,21.61,73.85,26,89,4,14,90,3,5,0,6,0,21.56,74.06,26.0,89.0,0.0,-0.05,0.0
31,2019-03-06 06:00:00,0,0.0,0,0,0.0,0.0,21.56,74.06,26,89,4,1,90,3,6,0,6,0,21.49,74.31,26.0,89.0,0.0,-0.07,0.0
32,2019-03-06 07:00:00,0,0.0,0,0,0.0,0.0,21.49,74.31,26,89,4,16,90,3,7,0,6,0,21.47,74.57,27.0,84.0,1.0,-0.02,0.0
33,2019-03-06 08:00:00,0,0.0,0,0,0.0,0.0,21.47,74.57,27,84,4,14,70,3,8,0,6,0,21.44,74.62,28.0,84.0,1.0,-0.03,0.0
34,2019-03-06 09:00:00,0,0.0,0,0,0.0,0.0,21.44,74.62,28,84,4,16,150,3,9,0,6,0,21.47,74.67,29.0,74.0,1.0,0.03,0.0
35,2019-03-06 10:00:00,0,0.0,0,0,0.0,0.0,21.47,74.67,29,74,4,14,190,3,10,0,6,0,21.49,74.67,30.0,70.0,1.0,0.02,0.0
36,2019-03-06 11:00:00,0,0.0,0,0,0.0,0.0,21.49,74.67,30,70,4,14,130,3,11,0,6,0,21.58,74.66,32.0,63.0,2.0,0.09,0.0
37,2019-03-06 12:00:00,0,1.0,0,0,42.0,42.0,21.58,74.66,32,63,4,14,130,3,12,0,6,0,21.75,73.31,31.0,66.0,-1.0,0.17,0.0
